Time,Bytes Per Second
7.732000000260086e-06,0
0.01929135099999968,53080
0.02602564699999732,78691
0.04255355400000127,72191
0.05961161100000112,68711
0.07601771899999932,67352
0.09278602699999539,66216
0.10928742699999816,65588
0.12633637999999792,64842
0.1424452520000017,64698
0.15901164299999948,64397
0.17568443799999756,64114
0.19238937000000078,63870
0.20889860100000135,63724
0.22574315299999625,63505
0.2430439050000004,63198
0.25996319200000073,63024
0.27681524500000165,62886
0.29293932399999534,62920
0.309617259999996,62838
0.32609757699999875,62803
0.3423160299999992,62819
0.35896471199999525,62758
0.3754059380000001,62737
0.3923884089999987,62631
0.4090562009999985,62583
0.4258132169999982,62525
0.44277108499999684,62443
0.4591934289999955,62439
0.47587023499999503,62403
0.49208332199999916,62428
0.5091964550000014,62341
0.525791434999995,62321
0.5425333129999999,62285
0.5587679940000001,62308
0.5755781189999993,62267
0.5920250989999971,62267
0.6089594819999959,62217
0.6257878629999993,62180
0.6426403560000011,62143
0.6597124910000005,62087
0.6759802179999994,62108
0.6928326439999992,62075
0.7093210119999966,62076
0.7257788889999972,62079
0.7423914479999993,62069
0.7590725760000012,62054
0.7760511829999999,62016
0.7922865009999995,62038
0.8093365669999955,61996
0.8255843709999979,62016
0.8422704669999987,62003
0.8591430849999995,61978
0.8754314039999969,61994
0.892021285999995,61989
0.9092003829999982,61944
0.9256523629999975,61949
0.9425541559999999,61925
0.959186822999996,61919
0.9757678739999989,61916
0.9924834050000015,61905
1.0089889039999989,61907
1.0090695549999964,62917
1.009126271999996,63928
1.0091890799999987,64939
1.0092441440000002,65950
1.0092966959999998,66961
1.0093435659999983,67972
1.0093953629999959,68983
1.0094492289999977,69994
1.0095069639999963,71004
1.0095654859999996,72015
1.0096294089999986,73024
1.0096894939999999,74034
1.0097410949999954,75044
1.0097983169999978,76054
1.0098555820000001,77064
1.0099142129999947,78073
1.0099715399999951,79083
1.01002845,80092
1.0100901449999995,81101
1.0101426430000018,82111
1.0102082760000002,83119
1.0102617179999953,84128
1.010324353999998,85137
1.010383884999996,86145
1.0104367180000011,87154
1.0104941979999964,88162
1.010556385000001,89170
1.010608529999999,90179
1.0106654029999973,91187
1.0107162659999958,92196
1.0107772799999992,93203
1.010830280999997,94211
1.0108873629999948,95219
1.010944373000001,96226
1.0110008609999994,97234
1.0110577029999988,98241
1.0111147160000016,99248
1.0111671720000004,100256
1.011230978999997,101262
1.0112877599999948,102269
1.0113451189999978,103276
1.0114042999999953,104282
1.0114678479999952,105288
1.0115248500000007,106294
1.0115820110000016,107301
1.0116391070000006,108307
1.0117024549999982,109312
1.0117611020000012,110318
1.0118181779999986,111324
1.011875277999998,112330
1.0119381649999966,113334
1.0119951209999982,114340
1.0120533889999948,115345
1.0121114559999995,116350
1.012172901999996,117355
1.0122249619999977,118361
1.0122832599999967,119365
1.0123347839999965,120371
1.012397166999996,121375
1.0124541550000004,122379
1.0125123420000008,123384
1.0125692270000002,124388
1.0126325979999962,125391
1.0126919419999965,126395
1.0127438039999959,127400
1.0128004569999973,128404
1.0128632750000008,129407
1.012920600000001,130411
1.0129786649999986,131414
1.0130362279999972,132417
1.0130984919999975,133420
1.0131512170000008,134424
1.0132072199999982,135427
1.0132578129999956,136431
1.0133188889999971,137433
1.0133709300000007,138436
1.0134272219999971,139439
1.0134777629999974,140443
1.0135385759999949,141445
1.013590606000001,142448
1.0136485620000002,143450
1.0137007459999978,144452
1.0137630859999973,145454
1.0138198020000004,146456
1.013870446999995,147458
1.0139312909999987,148459
1.013988292999997,149461
1.0140454479999974,150462
1.0141022739999954,151464
1.0142134879999958,152457
1.0142789499999978,153456
1.0143323690000017,154458
1.0143897179999968,155458
1.0144471429999982,156459
1.0145038220000018,157460
1.0145609559999968,158460
1.0146119650000003,159461
1.0146689850000001,160462
1.014733188000001,161461
1.0147901089999962,162461
1.0148474749999963,163461
1.0149046729999966,164460
1.014970751,165458
1.0150236499999963,166459
1.0150742430000008,167459
1.015131495999995,168458
1.0151880949999992,169458
1.015245021999995,170457
1.0153015060000001,171456
1.0153584679999952,172455
1.0154212429999987,173453
1.0154803129999976,174451
1.0155371339999988,175450
1.0155940809999962,176448
1.0156562259999973,177445
1.0157129749999996,178444
1.0157692639999993,179442
1.015825937999999,180440
1.0158881089999952,181437
1.0159531999999984,182433
1.0160074240000014,183431
1.016063638999995,184429
1.0161260960000007,185425
1.0161825550000003,186423
1.016239020999997,187420
1.016295528999997,188417
1.0163581219999998,189413
1.0164147209999967,190410
1.0164711249999954,191407
1.0165281459999989,192403
1.0165912399999968,193399
1.0166505039999976,194395
1.016707052000001,195391
1.0167635609999977,196387
1.0168258499999965,197382
1.0168826139999965,198378
1.0169394869999948,199374
1.0170016550000014,200369
1.0170641909999958,201363
1.017121171999996,202359
1.0171792679999996,203354
1.0172360169999948,204349
1.0172987719999966,205343
1.017355277,206338
1.017411770999999,207333
1.0174683279999996,208328
1.0175333529999975,209321
1.0175903039999952,210316
1.017646606999996,211311
1.0177033840000007,212305
1.017766132999995,213298
1.017825379999998,214292
1.0178821979999952,215286
1.0179432799999972,216279
1.0180052320000001,217271
1.0180626840000002,218265
1.018113041999996,219260
1.0181690599999982,220254
1.018223882000001,221248
1.0182754900000006,222242
1.0183324189999965,223235
1.0183893259999977,224228
1.0184464159999962,225221
1.018502454,226214
1.0185587359999957,227207
1.018616356999999,228199
1.0186729469999989,229192
1.0187427159999984,230181
1.018797671999998,231174
1.0188565489999988,232166
1.0189219079999958,233156
1.018976164999998,234148
1.0190310369999978,235141
1.019085951000001,236133
